source,periodType,date,instrument,period,price
GFI,BITR,2023-07-24,TD8,2023-07-01,158.36
GFI,BITR,2023-07-24,TD25,2023-07-01,147.19
GFI,BITR,2023-07-24,TD22,2023-07-01,7850000.0
GFI,BITR,2023-07-24,TD19,2023-07-01,120.33
GFI,MTD,2023-07-24,TD3C,2023-07-01,53.32
GFI,MTD,2023-07-24,TD20,2023-07-01,90.16
GFI,MTD,2023-07-24,TD7,2023-07-01,132.63
GFI,MTD,2023-07-24,TD8,2023-07-01,167.67
GFI,MTD,2023-07-24,TD25,2023-07-01,159.24
GFI,MTD,2023-07-24,TD22,2023-07-01,7821050.31
GFI,MTD,2023-07-24,TD19,2023-07-01,125.8
GFI,monthly,2023-07-24,TD3C,2023-07-01,53.0
GFI,monthly,2023-07-24,TD20,2023-07-01,88.45
GFI,monthly,2023-07-24,TD7,2023-07-01,132.5
GFI,monthly,2023-07-24,TD8,2023-07-01,165.0
GFI,monthly,2023-07-24,TD25,2023-07-01,156.18
GFI,monthly,2023-07-24,TD22,2023-07-01,7.8
GFI,monthly,2023-07-24,TD19,2023-07-01,126.0
GFI,monthly,2023-07-24,TD3C,2023-08-01,52.25
GFI,monthly,2023-07-24,TD20,2023-08-01,87.5
GFI,monthly,2023-07-24,TD7,2023-08-01,131.0
GFI,monthly,2023-07-24,TD8,2023-08-01,163.0
GFI,monthly,2023-07-24,TD25,2023-08-01,147.0
GFI,monthly,2023-07-24,TD22,2023-08-01,7.8
GFI,monthly,2023-07-24,TD19,2023-08-01,128.0
GFI,monthly,2023-07-24,TD3C,2023-09-01,54.75
GFI,monthly,2023-07-24,TD20,2023-09-01,90.5
GFI,monthly,2023-07-24,TD7,2023-09-01,130.0
GFI,monthly,2023-07-24,TD8,2023-09-01,155.0
GFI,monthly,2023-07-24,TD25,2023-09-01,152.0
GFI,monthly,2023-07-24,TD22,2023-09-01,8.2
GFI,monthly,2023-07-24,TD19,2023-09-01,130.0
GFI,monthly,2023-07-24,TD3C,2023-10-01,57.0
GFI,monthly,2023-07-24,TD20,2023-10-01,95.0
GFI,monthly,2023-07-24,TD7,2023-10-01,135.0
GFI,monthly,2023-07-24,TD8,2023-10-01,155.0
GFI,monthly,2023-07-24,TD25,2023-10-01,159.0
GFI,monthly,2023-07-24,TD22,2023-10-01,8.55
GFI,monthly,2023-07-24,TD19,2023-10-01,140.0
GFI,monthly,2023-07-24,TD3C,2023-11-01,61.5
