period,plmName,periodicity
MAR-37,3/1/2037,monthly
APR-37,4/1/2037,monthly
MAY-37,5/1/2037,monthly
JUN-37,6/1/2037,monthly
JUL-37,7/1/2037,monthly
AUG-37,8/1/2037,monthly
SEP-37,9/1/2037,monthly
OCT-37,10/1/2037,monthly
NOV-37,11/1/2037,monthly
DEC-37,12/1/2037,monthly
JAN-38,1/1/2038,monthly
FEB-38,2/1/2038,monthly
MAR-38,3/1/2038,monthly
APR-38,4/1/2038,monthly
MAY-38,5/1/2038,monthly
JUN-38,6/1/2038,monthly
JUL-38,7/1/2038,monthly
AUG-38,8/1/2038,monthly
SEP-38,9/1/2038,monthly
OCT-38,10/1/2038,monthly
NOV-38,11/1/2038,monthly
DEC-38,12/1/2038,monthly
JAN-39,1/1/2039,monthly
FEB-39,2/1/2039,monthly
MAR-39,3/1/2039,monthly
APR-39,4/1/2039,monthly
MAY-39,5/1/2039,monthly
JUN-39,6/1/2039,monthly
JUL-39,7/1/2039,monthly
AUG-39,8/1/2039,monthly
SEP-39,9/1/2039,monthly
OCT-39,10/1/2039,monthly
NOV-39,11/1/2039,monthly
DEC-39,12/1/2039,monthly
JAN-40,1/1/2040,monthly
FEB-40,2/1/2040,monthly
MAR-40,3/1/2040,monthly
APR-40,4/1/2040,monthly
MAY-40,5/1/2040,monthly
JUN-40,6/1/2040,monthly
JUL-40,7/1/2040,monthly
AUG-40,8/1/2040,monthly
SEP-40,9/1/2040,monthly
OCT-40,10/1/2040,monthly
NOV-40,11/1/2040,monthly
DEC-40,12/1/2040,monthly
JAN-41,1/1/2041,monthly
FEB-41,2/1/2041,monthly
MAR-41,3/1/2041,monthly
APR-41,4/1/2041,monthly
MAY-41,5/1/2041,monthly
JUN-41,6/1/2041,monthly
JUL-41,7/1/2041,monthly
AUG-41,8/1/2041,monthly
SEP-41,9/1/2041,monthly
OCT-41,10/1/2041,monthly
NOV-41,11/1/2041,monthly
DEC-41,12/1/2041,monthly
JAN-42,1/1/2042,monthly
FEB-42,2/1/2042,monthly
MAR-42,3/1/2042,monthly
APR-42,4/1/2042,monthly
MAY-42,5/1/2042,monthly
JUN-42,6/1/2042,monthly
JUL-42,7/1/2042,monthly
AUG-42,8/1/2042,monthly
SEP-42,9/1/2042,monthly
OCT-42,10/1/2042,monthly
NOV-42,11/1/2042,monthly
DEC-42,12/1/2042,monthly
JAN-43,1/1/2043,monthly
FEB-43,2/1/2043,monthly
MAR-43,3/1/2043,monthly
APR-43,4/1/2043,monthly
MAY-43,5/1/2043,monthly
JUN-43,6/1/2043,monthly
JUL-43,7/1/2043,monthly
AUG-43,8/1/2043,monthly
SEP-43,9/1/2043,monthly
OCT-43,10/1/2043,monthly
NOV-43,11/1/2043,monthly
DEC-43,12/1/2043,monthly
JAN-44,1/1/2044,monthly
FEB-44,2/1/2044,monthly
MAR-44,3/1/2044,monthly
APR-44,4/1/2044,monthly
MAY-44,5/1/2044,monthly
JUN-44,6/1/2044,monthly
JUL-44,7/1/2044,monthly
AUG-44,8/1/2044,monthly
SEP-44,9/1/2044,monthly
OCT-44,10/1/2044,monthly
NOV-44,11/1/2044,monthly
DEC-44,12/1/2044,monthly
JAN-45,1/1/2045,monthly
FEB-45,2/1/2045,monthly
MAR-45,3/1/2045,monthly
APR-45,4/1/2045,monthly
MAY-45,5/1/2045,monthly
JUN-45,6/1/2045,monthly
JUL-45,7/1/2045,monthly
AUG-45,8/1/2045,monthly
SEP-45,9/1/2045,monthly
OCT-45,10/1/2045,monthly
NOV-45,11/1/2045,monthly
DEC-45,12/1/2045,monthly
JAN-46,1/1/2046,monthly
FEB-46,2/1/2046,monthly
MAR-46,3/1/2046,monthly
APR-46,4/1/2046,monthly
MAY-46,5/1/2046,monthly
JUN-46,6/1/2046,monthly
JUL-46,7/1/2046,monthly
AUG-46,8/1/2046,monthly
SEP-46,9/1/2046,monthly
OCT-46,10/1/2046,monthly
NOV-46,11/1/2046,monthly
DEC-46,12/1/2046,monthly
JAN-47,1/1/2047,monthly
FEB-47,2/1/2047,monthly
MAR-47,3/1/2047,monthly
APR-47,4/1/2047,monthly
MAY-47,5/1/2047,monthly
JUN-47,6/1/2047,monthly
JUL-47,7/1/2047,monthly
AUG-47,8/1/2047,monthly
SEP-47,9/1/2047,monthly
OCT-47,10/1/2047,monthly
NOV-47,11/1/2047,monthly
DEC-47,12/1/2047,monthly
JAN-48,1/1/2048,monthly
FEB-48,2/1/2048,monthly
MAR-48,3/1/2048,monthly
APR-48,4/1/2048,monthly
MAY-48,5/1/2048,monthly
JUN-48,6/1/2048,monthly
JUL-48,7/1/2048,monthly
AUG-48,8/1/2048,monthly
SEP-48,9/1/2048,monthly
OCT-48,10/1/2048,monthly
NOV-48,11/1/2048,monthly
DEC-48,12/1/2048,monthly
JAN-49,1/1/2049,monthly
FEB-49,2/1/2049,monthly
MAR-49,3/1/2049,monthly
APR-49,4/1/2049,monthly
MAY-49,5/1/2049,monthly
JUN-49,6/1/2049,monthly
JUL-49,7/1/2049,monthly
AUG-49,8/1/2049,monthly
SEP-49,9/1/2049,monthly
OCT-49,10/1/2049,monthly
NOV-49,11/1/2049,monthly
DEC-49,12/1/2049,monthly
JAN-50,1/1/2050,monthly
FEB-50,2/1/2050,monthly
MAR-50,3/1/2050,monthly
APR-50,4/1/2050,monthly
MAY-50,5/1/2050,monthly
JUN-50,6/1/2050,monthly
JUL-50,7/1/2050,monthly
AUG-50,8/1/2050,monthly
SEP-50,9/1/2050,monthly
OCT-50,10/1/2050,monthly
NOV-50,11/1/2050,monthly
DEC-50,12/1/2050,monthly
