source,periodType,date,instrument,period,uom,value
GFI,A,2026-05-11,TD19,2029-01-01,PMT,13.25
GFI,BITR,2026-05-12,TD3,2026-05-01,WSC,450.63
GFI,BITR,2026-05-12,TD20,2026-05-01,WSC,193.06
GFI,BITR,2026-05-12,TD7,2026-05-01,WSC,193.75
GFI,BITR,2026-05-12,TD8,2026-05-01,WSC,414.29
GFI,BITR,2026-05-12,TD25,2026-05-01,WSC,240.0
GFI,BITR,2026-05-12,TD22,2026-05-01,LSM,17.847222
GFI,BITR,2026-05-12,TD19,2026-05-01,WSC,198.89
GFI,M,2026-05-12,TD3,2026-05-01,WSC,450.0
GFI,M,2026-05-12,TD20,2026-05-01,WSC,191.5
GFI,M,2026-05-12,TD7,2026-05-01,WSC,200.0
GFI,M,2026-05-12,TD8,2026-05-01,WSC,380.0
GFI,M,2026-05-12,TD25,2026-05-01,WSC,280.0
GFI,M,2026-05-12,TD22,2026-05-01,LSM,17.0
GFI,M,2026-05-12,TD19,2026-05-01,WSC,250.0
GFI,M,2026-05-12,TD3,2026-06-01,WSC,402.5
GFI,M,2026-05-12,TD20,2026-06-01,WSC,187.5
GFI,M,2026-05-12,TD7,2026-06-01,WSC,190.0
GFI,M,2026-05-12,TD8,2026-06-01,WSC,280.0
GFI,M,2026-05-12,TD25,2026-06-01,WSC,270.0
GFI,M,2026-05-12,TD22,2026-06-01,LSM,15.5
GFI,M,2026-05-12,TD19,2026-06-01,WSC,190.0
GFI,M,2026-05-12,TD3,2026-07-01,WSC,328.0
GFI,M,2026-05-12,TD20,2026-07-01,WSC,158.0
GFI,M,2026-05-12,TD7,2026-07-01,WSC,165.0
GFI,M,2026-05-12,TD8,2026-07-01,WSC,202.0
GFI,M,2026-05-12,TD25,2026-07-01,WSC,240.0
GFI,M,2026-05-12,TD22,2026-07-01,LSM,13.5
GFI,M,2026-05-12,TD19,2026-07-01,WSC,150.0
GFI,M,2026-05-12,TD3,2026-08-01,WSC,243.0
