source,periodType,date,instrument,period,price
GFI,A,2026-05-08,TD25,2027-01-01,25.47
GFI,A,2026-05-08,TD22,2027-01-01,37.96
GFI,A,2026-05-08,TD19,2027-01-01,14.00
GFI,A,2026-05-08,TD3C,2028-01-01,16.50
GFI,A,2026-05-08,TD20,2028-01-01,66.61
GFI,A,2026-05-08,TD7,2028-01-01,12.70
GFI,A,2026-05-08,TD8,2028-01-01,20.25
GFI,A,2026-05-08,TD25,2028-01-01,23.23
GFI,A,2026-05-08,TD22,2028-01-01,27.22
GFI,A,2026-05-08,TD19,2028-01-01,13.55
GFI,BITR,2026-05-11,TD3C,2026-05-01,454.38
GFI,BITR,2026-05-11,TD20,2026-05-01,199.17
GFI,BITR,2026-05-11,TD7,2026-05-01,197.92
GFI,BITR,2026-05-11,TD8,2026-05-01,415.00
GFI,BITR,2026-05-11,TD25,2026-05-01,273.33
GFI,BITR,2026-05-11,TD22,2026-05-01,17956667.00
GFI,BITR,2026-05-11,TD19,2026-05-01,231.06
GFI,MTD,2026-05-11,TD3C,2026-05-01,450.31
GFI,MTD,2026-05-11,TD20,2026-05-01,194.72
GFI,MTD,2026-05-11,TD7,2026-05-01,214.59
GFI,MTD,2026-05-11,TD8,2026-05-01,422.80
GFI,MTD,2026-05-11,TD25,2026-05-01,339.03
GFI,MTD,2026-05-11,TD22,2026-05-01,16749500.00
GFI,MTD,2026-05-11,TD19,2026-05-01,263.80
GFI,M,2026-05-11,TD3C,2026-05-01,460.00
GFI,M,2026-05-11,TD20,2026-05-01,15.59
GFI,M,2026-05-11,TD7,2026-05-01,210.00
GFI,M,2026-05-11,TD8,2026-05-01,380.00
GFI,M,2026-05-11,TD25,2026-05-01,145.55
GFI,M,2026-05-11,TD22,2026-05-01,17.00
GFI,M,2026-05-11,TD19,2026-05-01,250.00
GFI,M,2026-05-11,TD3C,2026-06-01,412.50
GFI,M,2026-05-11,TD20,2026-06-01,15.19
GFI,M,2026-05-11,TD7,2026-06-01,200.00
GFI,M,2026-05-11,TD8,2026-06-01,280.00
GFI,M,2026-05-11,TD25,2026-06-01,145.55
GFI,M,2026-05-11,TD22,2026-06-01,15.50
GFI,M,2026-05-11,TD19,2026-06-01,190.00
GFI,M,2026-05-11,TD3C,2026-07-01,330.00
GFI,M,2026-05-11,TD20,2026-07-01,13.40
GFI,M,2026-05-11,TD7,2026-07-01,170.00
GFI,M,2026-05-11,TD8,2026-07-01,202.00
GFI,M,2026-05-11,TD25,2026-07-01,123.86
GFI,M,2026-05-11,TD22,2026-07-01,13.50
GFI,M,2026-05-11,TD19,2026-07-01,150.00
GFI,M,2026-05-11,TD3C,2026-08-01,237.50
GFI,M,2026-05-11,TD20,2026-08-01,13.40
GFI,M,2026-05-11,TD7,2026-08-01,165.00
GFI,M,2026-05-11,TD8,2026-08-01,177.00
GFI,M,2026-05-11,TD25,2026-08-01,123.86
GFI,M,2026-05-11,TD22,2026-08-01,12.75
GFI,M,2026-05-11,TD19,2026-08-01,135.00
GFI,M,2026-05-11,TD3C,2026-09-01,175.00
GFI,M,2026-05-11,TD20,2026-09-01,
GFI,M,2026-05-11,TD7,2026-09-01,160.00
GFI,M,2026-05-11,TD8,2026-09-01,177.00
GFI,M,2026-05-11,TD25,2026-09-01,
GFI,M,2026-05-11,TD22,2026-09-01,12.00
GFI,M,2026-05-11,TD19,2026-09-01,135.00
GFI,Q,2026-05-11,TD3C,2026-07-01,247.50
GFI,Q,2026-05-11,TD20,2026-07-01,13.40
GFI,Q,2026-05-11,TD7,2026-07-01,165.00
GFI,Q,2026-05-11,TD8,2026-07-01,185.33
GFI,Q,2026-05-11,TD25,2026-07-01,123.86
GFI,Q,2026-05-11,TD22,2026-07-01,12.75
